	0	1	2	3	4	5	6	7
0	EDITAL DE FOMENTO PARA GRUPOS DOS CICLOS DA CULTURA TRADICIONAL POPULAR DO CEARÁ	3320000.00	06/04/2021	03/05/2021	2			
1	EDITAL CULTURA INFÂNCIA 2020	1500000.00	05/04/2020	27/04/2020	1			
2	XII EDITAL CEARÁ DE INCENTIVO ÀS ARTES	6877492.00	11/11/2019	06/12/2019	1	ARTES VISUAIS; DANÇA; CIRCO; HUMOR&COMÉDIA; FOTOGRAFIA; LITERATURA; MÚSICA; PRÊMIO ALBERTO NEPOMUCENO DE COMPOSIÇÃO MUSICAL; PRÊMIO PEDRO BOCA RICA DE TEATRO DE BONECOS; TEATRO	263.0	[['KELVIANE DE LIMA FERNANDES', 'RESIDÊNCIAS FORMATIVAS', 'FORTALEZA'], ['INSTITUTO UNIÃO DE ARTE EDUCAÇÃO E\rCULTURAS POPULARES', 'EXPOSIÇÃO FOLCLORE EM CENA', 'FORTALEZA'], ['GIULIANA LUIZA LIYE ODO', 'E ESTA É A TROMPA', 'FORTALEZA'], ['ANTONIO EDIVALDO FERREIRA', 'IV NORTE BIENAL DE ARTE', 'SOBRAL'], ['RAIMUNDO NONATO SOARES DA SILVA', 'MOSTRA DE ARTESANATO,\rEMPREENDEDORISMO E\rDESENVOLVIMENTO SUSTENTÁVEL', 'IPU'], ['PRISCILLA ALVES DE SOUSA', 'APRENDER A NADAR', 'FORTALEZA'], ['JOSÉ ALVES PIMENTA JÚNIOR', 'MAIS UM DIA: CLAUDIA SAMAPIO', 'FORTALEZA'], ['NÁDIA MARIA FERREIRA DE SOUSA', '/ARTE_SUBSTANTIVO FEMININO', 'FORTALEZA'], ['HÉRCULES GOMES DE LIMA', 'REVISTA DO LABORATÓRIO DE ARTE\rCONTEMPORÂNEA', 'FORTALEZA'], ['RAONI OLIVEIRA MARQUES', 'DICA HERÁLDICA', 'FORTALEZA'], ['RENATA GRACIANE FERREIRA DE SOUSA', 'CULTURA É A NOSSA PRAIA', 'FORTALEZA'], ['DANNIEL FERNANDES BEZERRA DE\rMENEZES', 'FILME ESPELHO DA VIDA', 'FORTALEZA'], ['FRANCISCO ADRIANO COSTA SOUZA', '“ALMA E MÃO”', 'SENADOR POMPEU'], ['FRANCISCO ALBERTO RODRIGUES DA\rSILVA', 'A UM TOQUE DAS ARTES VISUAIS\rCEARENSES', 'BATURITÉ'], ['JAILISON KELVY PEREIRA LIMA', 'COLEÇÃO DE ARTES CENTRO SUL', 'ACOPIARA'], ['ANDRÉ LUIZ DE FREITAS GOMES', 'ANIMAÇÃO SOBRE A VIDA DO ARTISTA\rIZIDORO, DE ARTES VISUAIS', 'QUIXADÁ'], ['LINDOMAR MARQUES DE OLIVEIRA', '“TAPETE DO NOSSO SENHOR DO BONFIM”', 'SENADOR POMPEU'], ['ASSOCIAÇÃO DE ARTE CULTURA E\rCIDADANIA DO MACIÇO DE BATURITÉ', 'MOSTRA DE CINEMA LUIZ SEVERIANO\rRIBEIRO', 'BATURITÉ'], ['EDVANDO TOMAZ DE LIMA', 'ARTES VISUAIS SERTÃO CENTRAL', 'QUIXADÁ'], ['EDVANDO TOMAZ DE LIMA', 'ARTES VISUAIS SERTÃO CENTRAL', 'QUIXADÁ'], ['ANNA MARCIA BELEM LIMA', 'AFROFUTURE - EXPOSIÇÃO E FORMAÇÃO\rEM NARRATIVAS PERIFÉRICAS', 'FORTALEZA'], ['RODRIGO DOS SANTOS FERREIRA', 'KIMBANDARIAS: DEMANDAS\rANTICOLONIAIS.', 'FORTALEZA'], ['PAOLLA MENCHETTI MARTINS', 'ATLÂNTICO AFROCEARENSE', 'FORTALEZA'], ['LEVY GALVÃO MOTA', 'DOSSIÊ GUARANY', 'FORTALEZA'], ['MARIA CLAUDINEIDE ALVES MACÊDO', 'UMOJA', 'JUAZEIRO DO NORTE'], ['DIEGO DE SOUSA SANTOS', 'SEM TÍTULO (PROVISÓRIO)', 'CAUCAIA'], ['SUYANE OLIVEIRA SANTOS', 'ESCONJURANDO DEMÔNIOS ATIVANDO O\rSISTEMA LÍMBICO E HISTORIANDO\rFICÇÕES', 'CRATO'], ['FRANCISCO EMESON NUNES ALVES', 'NOVOS OLHARES, NOVOS MOVIMENTOS', 'IPU'], ['FRANCISCO ADRIANO COSTA SOUZA', '“IMAGEM E DEVOÇÃO: A ICONOGRAFIA\rSACRA CRISTÃ E O CULTO AOS SANTOS\rNEGROS NO BRASIL”', 'SENADOR POMPEU'], ['FRANCISCO ANDERSON MORAIS ARES', 'PLANOS ÍNTIMOS', 'SOBRAL'], ['LOUISE CAVALCANTE FELIX', 'MEU CORPO É UMA NARRATIVA [2016-\r2019]', 'FORTALEZA'], ['LARISSA BATALHA SANTOS DA SILVA', 'GALERIA ABERTA: ESTRATÉGIAS DE\rSOBREVIVÊNCIA', 'FORTALEZA'], ['FRANCISCA FÁBIA DE OLIVEIRA SANTOS', 'AQUARELAS DO MUNDO- PINTANDO A\rMULHER NA HISTÓRIA', 'MERUOCA'], ['DOUGLAS MONTEIRO DE ARAUJO', 'ENTRE O BARRO E AS MÃOS', 'JUAZEIRO DO NORTE'], ['GRACIELE KARINE SIQUEIRA', 'CICLO DE OFICINAS 2020-2021 - OFICINA\rMESTRE NOZA', 'FORTALEZA'], ['FUNDAÇÃO DE APOIO A SERVIÇOS\rTÉCNICOS, ENSINO E FOMENTO A\rPESQUISAS', 'GESTÃO DO ATELIÊ-MATERIOTECA ICA-\rUFC', 'FORTALEZA'], ['INSTITUTO AMBIENTE CULTURAL E\rINCLUSÃO SOCIAL - IACIS', 'AMPLITUDE ATELIÊ DE ARTE E OFICINA', 'FORTALEZA'], ['INGRA RABELO DE CASTRO', 'SITU - FESTIVAL DE PERFORMANCE', 'FORTALEZA'], ['ELEN BEATRIZ GOMES DE ANDRADE', '“QUIXERAMOBIM, EU TE ESCREVO ESTA\rCARTA” ATELIÊ EM FILMES-CARTA:\rMULHERES QUE TECEM DIÁLOGOS COM O\rSERTÃO E A CIDADE', 'QUIXERAMOBIM'], ['CICERO SOARES DOS SANTOS', 'RESGATANDO  A  OBRA  E  A   MEMÓRIA\rDE  MESTRE  MAURICIO  FRANDILEIRO', 'JUAZEIRO DO NORTE'], ['ALEXANDRE LUCAS SILVA', 'LABORATÓRIO DE ESTUDOS, VIVÊRNCIAS\rE EXPERIMENTOS EM ARTE\rCONTEMPORÂNEA - LEVE ARTE\rCONTEMPORÂNEA', 'CRATO'], ['SILMARA PEIXOTO MOREIRA', 'VOZES DA COMUNIDADE: (RE) PINTANDO\rOS MUROS DA CIDADE COM A\rJUVENTUDE.', 'MARACANAÚ'], ['ASSOCIACAO COMUNITARIA DOS\rMORADORES RURAIS DE VAQUEJADOR-\rAD. IAPARA', 'ATELIÊ PEDACINHO DO CÉU', 'GRANJA'], ['FRANCISCA PAULA MACHADO', 'CONSERVAÇÃO PREVENTIVA DO ACERVO\rDOCUMENTAL DO MINIMUSEU FIRMEZA', 'FORTALEZA'], ['IAGO BARRETO SOARES', 'MITOLOGIAS INDÍGENAS DO CEARÁ', 'FORTALEZA'], ['INSTITUTO ASSUM PRETO DE ARTE,\rCULTURA, CIDADANIA E MEIO AMBIENTE', 'ROTA EXPEDIÇÃO 60. A HISTÓRIA\rPRIVADA DOS PRIMEIROS ÁLBUNS DE\rXILOGRAVURA DO MAUC.', 'SENADOR POMPEU'], ['INSTITUTO TRILHAS', 'COMO SE FAZ UM ARTISTA? TRAJETÓRIAS\rDE ARTISTAS CONTEMPORÂNEOS A\rPARTIR DO CEARÁ (2000-2010).', 'SENADOR POMPEU'], ['INSTITUTO TRILHAS', 'COMO SE FAZ UM ARTISTA? TRAJETÓRIAS\rDE ARTISTAS CONTEMPORÂNEOS A\rPARTIR DO CEARÁ (2000-2010).', 'SENADOR POMPEU']]
3	EDITAL DE CHAMADA PÚBLICA DE CREDENCIAMENTO DE PARECERISTA DA SECRETARIA DA CULTURA DO ESTADO DO CEARÁ	3234.00			1	  ARTES VISUAIS;   AUDIOVISUAL, ARTE DIGITAL E NOVAS MÍDIAS;   CIRCO;   DANÇA;   FOTOGRAFIA;   HUMOR;   LITERATURA;   MÚSICA;   TEATRO;   PATRIMÔNIO CULTURAL MATERIAL;   PATRIMÔNIO CULTURAL IMATERIAL;   MUSEUS E MEMÓRIA;   MODA E DESIGN;  INTERSETORIALIDADES DAS POLÍTICAS  PÚBLICAS DE CULTURA, GESTÃO E PRODUÇÃO CULTURAL		
4	EDITAIS – ARTE URGENTE	192000.00	01/02/2021	12/02/2021	2			
5	XIV EDITAL CEARÁ CINEMA E VÍDEO	8200000.00	18/11/2019	17/12/2019	2	CATEGORIA PRODUÇÃO		
6	FESTA DO SOL – CONVOCATÓRIA	4000.00	15/03/2021	25/03/2021	1			
7	XIII EDITAL MECENAS DO CEARÁ	26000000.00	03/02/2021	09/03/2021	3			
8	EDITAL DE CHAMAMENTO PÚBLICO PROJETO CIRCULA CEARÁ	613800.00	17/04/2019	17/05/2019	2	CIRCOOFICINA ACESSIBILIDADE ATITUDINALCULTURA POPULAR TRADICIONALDANÇAFOTOGRAFIAINTERVENÇÃO URBANALITERATURAMÚSICATEATRO		
9	CHAMADA PÚBLICA PARA SELEÇÃO E AQUISIÇÃO DE ACERVO BIBLIOGRÁFICO DE PRODUÇÃO CEARENSE PARA O SISTEMA ESTADUAL DE BIBLIOTECAS PÚBLICAS DO CEARÁ	2000000.00	07/10/2020	13/10/2020	1			
10	EDITAL DE APOIO AO AUDIOVISUAL CEARENSE – LEI ALDIR BLANC	11500000.00	30/10/2020	09/11/2020	0			
11	CHAMAMENTO PÚBLICO PARA OSCS DE ELABORAÇÃO E EXECUÇÃO DE PROGRAMAÇÃO EM ESPAÇOS ARTÍSTICOS E CULTURAIS – LEI ALDIR BLANC CEARÁ	2000000.00	06/10/2020	20/10/2020	1			
12	EDITAL DE SELEÇÃO PÚBLICA PARA PATROCÍNIO A FESTIVAL LEI ALDIR BLANC CEARÁ	3000000.00	24/09/2020	07/10/2020	1			
13	CHAMADA PÚBLICA PARA SELEÇÃO E AQUISIÇÃO DE OBRAS DE ARTE DE INTERESSE PÚBLICO	1466215.57	02/10/2020	12/10/2020	1			
14	EDITAL DE CHAMAMENTO PÚBLICO PARA PROGRAMA DE FORMAÇÃO E QUALIFICAÇÃO PARA O SETOR ARTÍSTICO/CRIATIVO DO CEARÁ – LEI ALDIR BLANC	2000000.00	07/10/2020	30/10/2020	0			
15	PRÊMIO FOMENTO CULTURA E ARTE DO CEARÁ – LEI ALDIR BLANC	17800000.00	04/11/2020	15/11/2020	2			
16	EDITAL CULTURA VIVA 2020	3000000.00	07/10/2020	21/10/2020	1			
17	ARTE LIVRE – EDITAL DE CRIAÇÃO ARTÍSTICA LEI ADIR BLANC CEARÁ	3000000.00	24/09/2020	09/10/2020	0			
18	EDITAL DE PATRIMÔNIO CULTURAL DO CEARÁ – LEI ALDIR BLANC	3000000.00	22/09/2020	06/10/2020	1	 GRUPOS DE TRADIÇÃO E PROJEÇÃO (CARNAVAL, PAIXÃO, JUNINO, NATAL) E OUTRAS EXPRESSÕES DA CULTURA TRADICIONAL POPULAR  PRESERVAÇÃO DO PATRIMÔNIO CULTURAL CEARENSE		
19	EDITAL TERRITÓRIOS CULTURAIS E TRADICIONAIS	1000000.00	22/09/2020	05/10/2020	1			
20	EDITAL CIDADANIA CULTURAL E DIVERSIDADE	1000000.00	22/09/2020	05/10/2020	1			
21	CONVOCATÓRIA – PROGRAMA PRA VER A BANDA TEMPORADA 2018.1		20/12/2017	08/01/2018	0			
22	CHAMADA PÚBLICA PARA CREDENCIAMENTO DE PARECERISTAS DO XV EDITAL CEARÁ NATAL DE LUZ 2018	3234.00			0			
23	EDITAL DOS “TESOUROS VIVOS” DA CULTURA DO ESTADO DO CEARÁ – 2018		25/06/2018	27/07/2018	0			
24	XV EDITAL CEARÁ NATAL DE LUZ – 2018	915156.00			0	GRUPOS DE TRADIÇÃO NATALINA; GRUPOS DE PROJEÇÃO (PARAFOLCLÓRICOS) DO CICLO NATALINO; PRESÉPIOS; CORAL; MOSTRAS REGIONAIS NATALINAS;; MOSTRA ESTADUAL CEARÁ NATAL DE LUZ		
25	EDITAL DE PROGRAMAÇÃO ARTÍSTICA E CULTURAL DO SOBRADO DR. JOSÉ LOURENÇO 2020	300000.00	11/03/2020	30/03/2020	1			
26	EDITAL DE CONVOCAÇÃO PARA ELEIÇÃO DO NOVO CONSELHO ESTADUAL DE POLÍTICA CULTURAL DO CEARÁ				0			
27	EDITAL XVII CAMPEONATO ESTADUAL FESTEJO CEARÁ JUNINO 2020	423700.00			0			
28	I EDITAL FESTIVAL CULTURA DENDICASA: ARTE DE CASA PARA O MUNDO	1000000.00	31/03/2020	10/04/2020	0			
29	EDITAL DE CHAMADA PÚBLICA PARA REALIZAÇÃO DO PROGRAMA DE FORMAÇÃO EM ARTES CÊNICAS EM MACRORREGIÕES CULTURAIS DO CEARÁ				0			
30	SELO DE RESPONSABILIDADE CULTURAL – EDIÇÃO 2018		30/07/2018	28/08/2018	2			
31	CHAMADA PÚBLICA PARA CREDENCIAMENTO DE PARECERISTAS PARA O XIII EDITAL CARNAVAL DO CEARÁ 2019	3234.00	17/01/2019		0			
32	I PRÊMIO EXPRESSÕES CULTURAIS AFRO-BRASILEIRAS DO CEARÁ	500000.00	12/12/2019	10/01/2020	3			
33	XXII EDITAL CEARÁ JUNINO – 2020	3014.80			1	 QUADRILHAS JUNINAS ADULTAS  QUADRILHAS JUNINAS INFANTIS  QUADRILHAS JUNINAS DA DIVERSIDADE  FESTIVAL REGIONAL DE QUADRILHAS JUNINAS		
34	XXI EDITAL CEARÁ JUNINO	3150.00	28/04/2019	13/05/2019	0			
35	XIV EDITAL CEARÁ CICLO CARNAVALESCO 2020	1234716.00	19/11/2019	03/12/2019	0	BAILES E MATINÊS		
36	XI EDITAL MECENAS DO CEARÁ – 2018	26700000.00	08/10/2018	06/11/2018	1	 DOAÇÃO PATROCÍNIO INVESTIMENTO		
37					0			
38	XII EDITAL MECENAS DO CEARÁ – 2019	26000000.00			1	 DOAÇÃO PATROCÍNIO INVESTIMENTO		
39	ELEIÇÕES CEPC – 2020/2022		26/08/2019	10/10/2019	0			
40	XVI EDITAL CEARÁ CICLO NATALINO 2019	980112.00	15/08/2019	29/08/2019	1	 GRUPOS DE TRADIÇÃO NATALINA  GRUPOS DE PROJEÇÃO (PARAFOLCLÓRICOS)  PRESÉPIOS MOSTRAS REGIONAIS NATALINAS; MOSTRA ESTADUAL CEARÁ CICLO NATALINO 2019		
41	EDITAL XIV MOSTRA ESTADUAL CEARÁ CICLO NATALINO 2019	200000.00			0			
42	PRÊMIO PONTOS DE CULTURA DO CEARÁ				0			
43	PRÊMIO CHICO ALBUQUERQUE DE FOTOGRAFIA – EDIÇÃO 2018	305000000.00			0	 NARRATIVAS BRASILEIRAS DESCOBERTAS OUTRAS VISÕES		
44	EDITAL DE CREDENCIAMENTO ARTISTA, PRESENTE! 2019		20/05/2019	14/06/2019	0			
45	EDITAL TESOUROS VIVOS DA CULTURA DO ESTADO DO CEARÁ – 2017				0			
46	XVI EDITAL CEARÁ DA PAIXÃO 2020	781596.00	11/01/2020	27/01/2020	0	ESPETÁCULO CÊNICO DA PAIXÃO DE CRISTO		
47	CHAMADA DE OCUPAÇÃO ARTÍSTICA DO THEATRO JOSÉ DE ALENCAR 2019		05/04/2019	25/04/2019	1			
48	EDITAL TODA BANDA DE MÚSICA É UMA ESCOLA		30/05/2018	29/06/2018	1			
49	EDITAL DE SELEÇÃO DA V MOSTRA ITINERANTE DE CINEMA DO CEARÁ	332926.40	24/04/2018		0			
50	CHAMAMENTO PÚBLICO PARA CERTIFICAÇÃO DE ENTIDADES E COLETIVOS CULTURAIS COMO PONTOS DE CULTURA DO ESTADO DO CEARÁ				1			
51	XV EDITAL CEARÁ DA PAIXÃO – 2019	760526.00	18/02/2019	04/03/2019	0	ESPETÁCULO CÊNICO DA PAIXÃO; ESPETÁCULO CÊNICO DA PAIXÃO; ESPETÁCULO CÊNICO DA PAIXÃO; MANIFESTAÇÃO TRADICIONAL POPULAR; SEMINÁRIO DE AVALIAÇÃO E PLANEJAMENTO CEARÁ DA PAIXÃO		
52	EDITAL DE CHAMAMENTO PÚBLICO DO PROGRAMA DE OCUPAÇÃO ARTÍSTICA E CULTURAL DO TEATRO CARLOS CÂMARA	450000.00	01/07/2018		1			
53	CHAMADA DE OCUPAÇÃO ARTÍSTICA DO THEATRO JOSÉ DE ALENCAR 2018		19/06/2018		0			
54	EDITAL ENCONTRO MESTRES DO MUNDO 2019	650000.00			0			
55	MI – 15º FESTIVAL MÚSICA DA IBIAPABA 2019		20/05/2019	05/06/2019	1			
56	FESTIVAL MI – XIV FESTIVAL MÚSICA DA IBIAPABA 2018		30/05/2018		0			
57	CONVOCATÓRIA – PRA VER A BANDA		19/03/2018		0			
58	FORMAÇÃO E SELEÇÃO DE JURADOS E PRESIDENTES DE MESA DOS FESTIVAIS REGIONAIS CEARÁ JUNINO 2018		10/06/2018		0			
